country,population,births,deaths,rate_deaths ,migration_rate,population_mid2035,population_mid2050,infant_mortality_rate,fertility_rate,population_age_less_than15,population_age_over65,family_planning_ all,family_planning_ using,family_planning_demand,life_birth_total ,life_birth_male,life_birth_ female,hiv_males,hiv_females,percent_urban,population_per_square_arableland,gni,covid_excess_deaths,"covid_excess_deaths_100,000_Population",covid19_total_deaths,population_fully_vaccinated 
Algeria,44.9,22.0,5.0,2.0,0.0,52.0,60.0,19.0,3.0,31.0,6.0,54.0,45.0,66.0,76.0,75.0,78.0,0.1,0.1,74.0,598.0,11750.0,34794.0,79.0,14.0,16.0
Egypt,103.5,21.0,7.0,1.0,1.0,123.0,145.0,16.0,3.0,34.0,4.0,59.0,57.0,80.0,75.0,73.0,76.0,0.1,0.1,44.0,3077.0,12910.0,125551.0,122.0,18.0,35.0
Morocco,36.7,17.0,5.0,1.0,-1.0,41.0,44.0,15.0,2.0,25.0,8.0,71.0,59.0,72.0,74.0,72.0,76.0,0.1,0.1,64.0,479.0,8020.0,17374.0,47.0,6.0,63.0
Sudan,46.9,34.0,7.0,3.0,0.0,64.0,85.0,39.0,5.0,41.0,4.0,12.0,12.0,30.0,65.0,63.0,68.0,0.0,0.0,36.0,223.0,4000.0,19000.0,43.0,7.0,9.0
Tunisia,11.8,16.0,8.0,1.0,-1.0,13.0,14.0,14.0,2.0,25.0,9.0,51.0,44.0,63.0,74.0,71.0,77.0,0.1,0.1,70.0,456.0,11270.0,11911.0,100.0,14.0,54.0
Western Sahara,0.6,17.0,6.0,1.0,6.0,1.0,1.0,26.0,2.0,24.0,6.0,0.0,0.0,0.0,71.0,69.0,73.0,0.0,0.0,87.0,14400.0,0.0,0.0,0.0,0.0,0.0
Benin,13.4,36.0,9.0,3.0,0.0,19.0,25.0,54.0,5.0,42.0,3.0,16.0,12.0,26.0,60.0,58.0,62.0,1.0,1.0,49.0,477.0,3750.0,5927.0,48.0,6.0,22.0
Burkina Faso,22.7,35.0,9.0,3.0,-1.0,31.0,41.0,47.0,5.0,44.0,3.0,35.0,32.0,56.0,60.0,58.0,62.0,1.0,1.0,31.0,378.0,2330.0,11080.0,52.0,7.0,7.0
Cabo Verde,0.6,15.0,5.0,1.0,-2.0,1.0,1.0,11.0,2.0,26.0,6.0,56.0,55.0,0.0,74.0,70.0,78.0,1.0,1.0,74.0,1186.0,6890.0,464.0,83.0,13.0,0.0
Cöte d'Ivoire,28.2,34.0,9.0,3.0,-1.0,38.0,51.0,57.0,4.0,41.0,2.0,28.0,22.0,41.0,59.0,57.0,60.0,1.0,3.0,52.0,805.0,5760.0,12717.0,48.0,6.0,21.0
Gambia,2.7,33.0,8.0,3.0,-1.0,4.0,5.0,31.0,5.0,43.0,2.0,19.0,17.0,40.0,62.0,61.0,64.0,1.0,2.0,63.0,615.0,2370.0,1452.0,59.0,9.0,15.0
Ghana,33.5,28.0,8.0,2.0,0.0,42.0,52.0,32.0,4.0,37.0,4.0,31.0,25.0,0.0,64.0,62.0,66.0,1.0,2.0,58.0,1332.0,6020.0,10454.0,33.0,5.0,21.0
Guinea,13.9,34.0,10.0,2.0,0.0,18.0,24.0,64.0,4.0,42.0,3.0,11.0,11.0,32.0,59.0,58.0,60.0,1.0,2.0,37.0,447.0,2540.0,6265.0,47.0,5.0,26.0
Guinea-Bissau,2.1,31.0,9.0,2.0,-1.0,3.0,3.0,51.0,4.0,40.0,3.0,21.0,20.0,48.0,60.0,57.0,62.0,2.0,4.0,45.0,702.0,2060.0,1421.0,71.0,8.0,17.0
Liberia,5.3,31.0,9.0,2.0,-2.0,7.0,9.0,58.0,4.0,41.0,3.0,25.0,24.0,41.0,61.0,59.0,62.0,1.0,1.0,53.0,1061.0,1460.0,2022.0,39.0,5.0,28.0
Mali,22.6,42.0,9.0,3.0,-1.0,33.0,47.0,55.0,6.0,47.0,2.0,17.0,16.0,40.0,59.0,58.0,60.0,1.0,1.0,45.0,352.0,2370.0,13656.0,66.0,8.0,6.0
Mauritania,4.7,39.0,7.0,3.0,1.0,7.0,10.0,41.0,5.0,42.0,3.0,14.0,13.0,28.0,65.0,63.0,66.0,0.0,0.0,56.0,1185.0,5530.0,3474.0,74.0,12.0,29.0
Niger,26.2,45.0,8.0,4.0,0.0,42.0,67.0,40.0,7.0,49.0,2.0,14.0,13.0,35.0,62.0,61.0,63.0,0.0,0.0,17.0,148.0,1330.0,17170.0,70.0,8.0,6.0
Nigeria,218.5,37.0,12.0,2.0,0.0,292.0,378.0,72.0,5.0,43.0,3.0,17.0,12.0,34.0,54.0,53.0,54.0,1.0,2.0,53.0,624.0,5250.0,93217.0,45.0,5.0,8.0
Senegal,17.9,32.0,5.0,3.0,-1.0,24.0,31.0,33.0,4.0,41.0,3.0,27.0,26.0,53.0,70.0,68.0,71.0,0.0,0.0,49.0,560.0,3690.0,8252.0,49.0,9.0,9.0
Sierra Leone,8.7,33.0,10.0,2.0,2.0,11.0,14.0,75.0,4.0,39.0,3.0,21.0,21.0,45.0,58.0,57.0,60.0,1.0,2.0,43.0,549.0,1750.0,3943.0,49.0,6.0,21.0
Togo,8.8,32.0,8.0,2.0,0.0,12.0,16.0,44.0,4.0,40.0,3.0,24.0,21.0,37.0,62.0,61.0,62.0,1.0,3.0,43.0,334.0,2390.0,-3495.0,-42.0,-7.0,19.0
Burundi,12.9,35.0,7.0,3.0,-1.0,18.0,24.0,37.0,5.0,46.0,2.0,29.0,23.0,39.0,62.0,60.0,64.0,1.0,1.0,14.0,1074.0,800.0,4669.0,39.0,6.0,0.0
Comoros,0.8,29.0,9.0,2.0,-2.0,1.0,1.0,46.0,4.0,38.0,4.0,19.0,14.0,27.0,63.0,61.0,66.0,0.1,0.1,30.0,1268.0,3260.0,362.0,41.0,7.0,35.0
Djibouti,1.1,22.0,9.0,1.0,1.0,1.0,2.0,39.0,3.0,30.0,5.0,19.0,18.0,0.0,62.0,60.0,65.0,1.0,1.0,78.0,56042.0,5740.0,884.0,89.0,11.0,15.0
Eritrea,3.7,29.0,7.0,2.0,-4.0,5.0,6.0,29.0,4.0,39.0,4.0,8.0,7.0,20.0,67.0,64.0,69.0,0.0,1.0,42.0,534.0,0.0,1207.0,34.0,4.0,0.0
Ethiopia,123.4,32.0,7.0,3.0,0.0,166.0,215.0,47.0,4.0,40.0,3.0,41.0,41.0,0.0,65.0,62.0,68.0,1.0,1.0,22.0,762.0,2590.0,51748.0,44.0,8.0,19.0
Kenya,54.0,28.0,8.0,2.0,-1.0,69.0,85.0,30.0,3.0,38.0,3.0,65.0,61.0,77.0,61.0,59.0,64.0,3.0,5.0,28.0,932.0,4950.0,6176.0,11.0,2.0,17.0
Madagascar,29.6,35.0,7.0,3.0,0.0,41.0,56.0,47.0,4.0,39.0,3.0,50.0,43.0,66.0,65.0,63.0,68.0,0.0,0.0,39.0,988.0,1600.0,12791.0,46.0,7.0,4.0
Malawi,20.4,33.0,7.0,3.0,0.0,28.0,37.0,28.0,4.0,43.0,3.0,66.0,65.0,80.0,63.0,59.0,66.0,6.0,9.0,18.0,567.0,1630.0,8557.0,44.0,7.0,8.0
Mauritius,1.3,10.0,11.0,0.0,-1.0,1.0,1.0,14.0,1.0,17.0,12.0,64.0,32.0,42.0,74.0,71.0,78.0,2.0,1.0,41.0,1684.0,25530.0,471.0,37.0,4.0,74.0
Mayotte,0.3,34.0,3.0,3.0,7.0,0.0,1.0,4.0,4.0,44.0,3.0,0.0,0.0,0.0,73.0,73.0,74.0,0.0,0.0,46.0,1768.0,0.0,0.0,0.0,0.0,0.0
Mozambique,33.0,37.0,9.0,3.0,0.0,46.0,63.0,52.0,5.0,44.0,3.0,27.0,25.0,50.0,59.0,56.0,62.0,0.0,0.0,38.0,584.0,1310.0,21366.0,67.0,7.0,68.0
Réunion,0.9,16.0,7.0,1.0,-6.0,1.0,1.0,7.0,3.0,22.0,14.0,0.0,0.0,0.0,80.0,77.0,83.0,0.0,0.0,100.0,2569.0,0.0,0.0,0.0,0.0,0.0
Rwanda,13.8,30.0,6.0,2.0,0.0,18.0,23.0,29.0,4.0,38.0,3.0,64.0,58.0,75.0,66.0,64.0,68.0,2.0,3.0,18.0,1196.0,2440.0,2701.0,21.0,4.0,66.0
Seychelles,0.1,17.0,9.0,1.0,0.0,0.0,0.0,11.0,3.0,22.0,12.0,0.0,0.0,0.0,74.0,71.0,76.0,0.0,0.0,58.0,66742.0,28050.0,4.0,4.0,0.0,82.0
Somalia,17.6,44.0,12.0,3.0,-1.0,26.0,37.0,71.0,6.0,47.0,3.0,7.0,1.0,2.0,55.0,53.0,57.0,0.1,0.1,47.0,1600.0,1300.0,17731.0,110.0,10.0,10.0
South Sudan,10.9,29.0,11.0,2.0,-3.0,14.0,18.0,64.0,5.0,44.0,3.0,0.0,9.0,0.0,55.0,53.0,56.0,2.0,3.0,21.0,456.0,0.0,4583.0,41.0,5.0,9.0
Tanzania,65.5,36.0,6.0,3.0,0.0,93.0,130.0,34.0,5.0,43.0,3.0,38.0,32.0,53.0,66.0,64.0,68.0,3.0,6.0,36.0,485.0,2920.0,20015.0,33.0,6.0,7.0
Uganda,47.2,37.0,6.0,3.0,1.0,66.0,88.0,30.0,5.0,45.0,2.0,50.0,43.0,60.0,63.0,60.0,65.0,4.0,7.0,26.0,685.0,2360.0,10260.0,22.0,4.0,24.0
Zambia,20.0,34.0,7.0,3.0,0.0,28.0,38.0,38.0,4.0,43.0,2.0,50.0,48.0,69.0,62.0,59.0,65.0,8.0,14.0,45.0,527.0,3300.0,11777.0,63.0,9.0,23.0
Zimbabwe,16.3,31.0,9.0,2.0,-2.0,21.0,26.0,37.0,4.0,41.0,3.0,67.0,66.0,85.0,59.0,56.0,62.0,9.0,14.0,32.0,408.0,2380.0,9316.0,62.0,7.0,31.0
Angola,35.6,39.0,8.0,3.0,1.0,51.0,72.0,48.0,5.0,45.0,3.0,14.0,13.0,24.0,62.0,59.0,65.0,1.0,2.0,67.0,726.0,6060.0,11343.0,34.0,5.0,21.0
Cameroon,27.9,35.0,9.0,3.0,0.0,38.0,51.0,48.0,5.0,42.0,3.0,19.0,15.0,36.0,60.0,59.0,62.0,2.0,4.0,58.0,450.0,3990.0,17661.0,66.0,8.0,5.0
Central African Republic,5.6,43.0,11.0,3.0,-16.0,8.0,12.0,71.0,6.0,48.0,3.0,18.0,14.0,26.0,54.0,52.0,56.0,2.0,3.0,43.0,310.0,1090.0,3123.0,64.0,5.0,22.0
Chad,17.7,43.0,12.0,3.0,0.0,26.0,37.0,65.0,6.0,48.0,2.0,8.0,7.0,17.0,53.0,51.0,55.0,1.0,1.0,24.0,341.0,1540.0,9625.0,58.0,6.0,13.0
Congo,6.0,31.0,7.0,2.0,-1.0,8.0,10.0,32.0,4.0,41.0,3.0,30.0,19.0,39.0,64.0,62.0,65.0,2.0,6.0,68.0,1086.0,2850.0,2265.0,41.0,6.0,0.0
"Congo, Dem. Rep.",99.0,42.0,10.0,3.0,-1.0,148.0,218.0,52.0,6.0,47.0,3.0,28.0,18.0,31.0,59.0,57.0,62.0,1.0,1.0,46.0,735.0,1170.0,58879.0,65.0,8.0,0.0
Equatorial Guinea,1.7,30.0,9.0,2.0,4.0,2.0,3.0,57.0,4.0,38.0,3.0,13.0,10.0,21.0,61.0,59.0,63.0,5.0,9.0,74.0,1208.0,13520.0,860.0,60.0,8.0,15.0
Gabon,2.4,27.0,7.0,2.0,1.0,3.0,4.0,29.0,4.0,36.0,4.0,31.0,19.0,34.0,66.0,63.0,68.0,2.0,5.0,90.0,735.0,14560.0,801.0,36.0,5.0,12.0
Säo Tomé and Principe,0.2,28.0,6.0,2.0,-4.0,0.0,0.0,12.0,4.0,39.0,4.0,50.0,46.0,60.0,68.0,65.0,70.0,0.0,1.0,75.0,5685.0,4490.0,96.0,43.0,9.0,42.0
Botswana,2.6,24.0,9.0,1.0,1.0,3.0,4.0,33.0,3.0,33.0,4.0,67.0,0.0,0.0,61.0,59.0,64.0,13.0,24.0,72.0,1012.0,16650.0,3707.0,156.0,15.0,64.0
Eswatini,1.2,24.0,11.0,1.0,-4.0,1.0,2.0,38.0,3.0,35.0,4.0,66.0,66.0,81.0,57.0,53.0,61.0,19.0,36.0,24.0,687.0,8870.0,1910.0,164.0,14.0,29.0
Lesotho,2.3,26.0,14.0,1.0,-1.0,3.0,3.0,68.0,3.0,34.0,4.0,65.0,65.0,80.0,53.0,50.0,56.0,16.0,26.0,29.0,387.0,3030.0,1991.0,93.0,5.0,34.0
Namibia,2.6,27.0,11.0,2.0,-2.0,3.0,4.0,28.0,3.0,36.0,4.0,56.0,55.0,75.0,59.0,56.0,63.0,8.0,15.0,53.0,321.0,9650.0,3877.0,151.0,18.0,17.0
South Africa,60.6,20.0,12.0,1.0,3.0,70.0,80.0,25.0,2.0,28.0,6.0,55.0,54.0,78.0,62.0,59.0,64.0,12.0,25.0,68.0,505.0,14140.0,119336.0,200.0,18.0,32.0
Canada,38.8,10.0,8.0,0.0,10.0,44.0,49.0,5.0,1.0,16.0,19.0,89.0,0.0,0.0,82.0,80.0,84.0,0.0,0.0,82.0,101.0,51690.0,11010.0,29.0,4.0,82.0
Belize,0.4,17.0,5.0,1.0,1.0,1.0,1.0,12.0,2.0,36.0,4.0,51.0,49.0,66.0,70.0,67.0,74.0,1.0,1.0,46.0,491.0,6600.0,349.0,87.0,14.0,53.0
Costa Rica,5.2,11.0,6.0,0.0,6.0,6.0,6.0,9.0,1.0,22.0,9.0,71.0,69.0,83.0,81.0,78.0,83.0,1.0,0.0,81.0,2133.0,21800.0,4824.0,94.0,16.0,81.0
El Salvador,6.3,16.0,9.0,1.0,-4.0,7.0,7.0,11.0,2.0,25.0,8.0,72.0,68.0,82.0,71.0,66.0,75.0,1.0,0.0,74.0,879.0,9120.0,8518.0,131.0,17.0,67.0
Guatemala,17.8,21.0,7.0,2.0,-2.0,21.0,25.0,19.0,2.0,32.0,5.0,61.0,49.0,66.0,69.0,66.0,73.0,0.0,0.0,52.0,2070.0,9580.0,24698.0,137.0,20.0,35.0
Honduras,9.6,21.0,4.0,2.0,-1.0,12.0,13.0,15.0,2.0,31.0,6.0,73.0,64.0,76.0,70.0,68.0,73.0,0.0,0.0,59.0,961.0,5740.0,11331.0,113.0,17.0,54.0
Mexico,127.5,15.0,9.0,1.0,0.0,138.0,144.0,11.0,2.0,25.0,8.0,73.0,70.0,0.0,70.0,66.0,75.0,1.0,0.0,81.0,635.0,19540.0,313109.0,242.0,29.0,63.0
Nicaragua,6.7,19.0,5.0,1.0,-3.0,8.0,9.0,13.0,2.0,30.0,6.0,80.0,77.0,90.0,77.0,74.0,80.0,0.0,0.0,59.0,448.0,5960.0,6048.0,91.0,15.0,80.0
Panama,4.4,15.0,5.0,1.0,4.0,5.0,6.0,12.0,2.0,25.0,10.0,51.0,47.0,63.0,77.0,74.0,80.0,0.0,0.0,69.0,778.0,29900.0,3822.0,88.0,15.0,72.0
CARIBBEAN,44.0,15.0,10.0,1.0,-1.0,46.0,47.0,29.0,2.0,23.0,10.0,57.0,55.0,71.0,71.0,68.0,74.0,1.0,1.0,72.0,1793.0,0.0,23144.0,59.0,7.0,46.0
Antigua and Barbuda,0.1,12.0,6.0,1.0,9.0,0.0,0.0,6.0,2.0,21.0,9.0,0.0,0.0,0.0,79.0,76.0,81.0,0.0,0.0,24.0,2524.0,19610.0,-15.0,-15.0,-2.0,63.0
Bahamas,0.4,11.0,9.0,0.0,1.0,0.0,1.0,10.0,1.0,19.0,9.0,0.0,0.0,0.0,72.0,68.0,75.0,1.0,1.0,83.0,5125.0,31870.0,502.0,127.0,15.0,40.0
Barbados,0.3,8.0,9.0,0.0,0.0,0.0,0.0,11.0,1.0,17.0,16.0,59.0,55.0,70.0,78.0,76.0,79.0,1.0,1.0,31.0,3846.0,14530.0,-178.0,-62.0,-5.0,53.0
Cuba,11.1,9.0,15.0,-1.0,0.0,11.0,10.0,8.0,2.0,16.0,16.0,69.0,68.0,87.0,74.0,71.0,76.0,1.0,0.0,77.0,381.0,0.0,9080.0,80.0,7.0,88.0
Curapao,0.1,9.0,11.0,0.0,-14.0,0.0,0.0,6.0,1.0,17.0,20.0,0.0,0.0,0.0,78.0,75.0,82.0,0.0,0.0,89.0,0.0,21480.0,0.0,0.0,0.0,0.0
Dominica,0.1,13.0,9.0,0.0,1.0,0.0,0.0,12.0,2.0,20.0,10.0,0.0,0.0,0.0,73.0,70.0,76.0,0.0,0.0,71.0,1212.0,12010.0,8.0,10.0,1.0,42.0
Dominican Republic,11.2,18.0,7.0,1.0,-1.0,12.0,13.0,27.0,2.0,27.0,7.0,70.0,68.0,84.0,73.0,69.0,76.0,1.0,1.0,83.0,1280.0,19730.0,5937.0,54.0,7.0,55.0
Grenada,0.1,16.0,8.0,1.0,-1.0,0.0,0.0,13.0,2.0,24.0,10.0,0.0,0.0,0.0,75.0,72.0,78.0,0.0,0.0,37.0,4181.0,15890.0,-134.0,-118.0,-15.0,34.0
Guadeloupe,0.4,11.0,14.0,0.0,-2.0,0.0,0.0,8.0,2.0,18.0,21.0,0.0,0.0,0.0,76.0,73.0,80.0,0.0,0.0,99.0,1703.0,0.0,0.0,0.0,0.0,0.0
Haiti,11.6,23.0,9.0,2.0,-3.0,13.0,15.0,46.0,3.0,32.0,5.0,34.0,32.0,44.0,63.0,60.0,66.0,1.0,2.0,58.0,1083.0,3130.0,4805.0,42.0,5.0,1.0
Jamaica,2.8,12.0,9.0,0.0,-2.0,3.0,3.0,11.0,1.0,20.0,7.0,73.0,68.0,83.0,71.0,68.0,73.0,1.0,1.0,57.0,2356.0,9720.0,1796.0,61.0,8.0,24.0
Martinique,0.3,10.0,14.0,0.0,-4.0,0.0,0.0,7.0,2.0,15.0,23.0,0.0,0.0,0.0,78.0,74.0,81.0,0.0,0.0,89.0,3177.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,3.2,6.0,10.0,0.0,-1.0,3.0,3.0,7.0,1.0,13.0,23.0,0.0,0.0,0.0,80.0,76.0,85.0,0.0,0.0,94.0,6466.0,23360.0,0.0,0.0,0.0,0.0
St. Kitts-Nevis,0.1,12.0,10.0,0.0,-2.0,0.0,0.0,8.0,2.0,20.0,10.0,0.0,0.0,0.0,72.0,68.0,75.0,0.0,0.0,31.0,953.0,25900.0,-104.0,-194.0,-25.0,49.0
St. Lucia,0.2,11.0,10.0,0.0,0.0,0.0,0.0,12.0,1.0,18.0,9.0,56.0,53.0,72.0,71.0,68.0,75.0,0.0,0.0,19.0,6736.0,13810.0,185.0,101.0,10.0,29.0
St. Vincent and the Grenadines,0.1,12.0,9.0,0.0,-1.0,0.0,0.0,14.0,2.0,25.0,9.0,0.0,0.0,0.0,71.0,68.0,75.0,0.0,0.0,53.0,5521.0,13950.0,248.0,222.0,21.0,28.0
Trinidad and Tobago,1.4,11.0,8.0,0.0,-1.0,1.0,1.0,16.0,2.0,21.0,9.0,40.0,38.0,58.0,76.0,74.0,78.0,1.0,1.0,53.0,5476.0,25670.0,1016.0,72.0,10.0,51.0
SOUTH AMERICA,434.0,14.0,8.0,1.0,-1.0,471.0,488.0,14.0,2.0,22.0,10.0,78.0,73.0,0.0,74.0,71.0,78.0,1.0,0.0,85.0,628.0,16521.0,740970.0,172.0,21.0,76.0
Argentina,46.2,14.0,9.0,1.0,0.0,51.0,54.0,9.0,2.0,23.0,12.0,70.0,68.0,81.0,75.0,72.0,79.0,1.0,0.0,92.0,142.0,23150.0,44941.0,99.0,11.0,83.0
Bolivia,12.2,22.0,10.0,1.0,0.0,15.0,17.0,27.0,3.0,31.0,5.0,67.0,45.0,50.0,64.0,61.0,67.0,0.0,0.0,70.0,269.0,8800.0,44015.0,375.0,33.0,51.0
Brazil,214.8,13.0,7.0,1.0,0.0,229.0,233.0,14.0,2.0,20.0,10.0,80.0,78.0,0.0,75.0,72.0,79.0,1.0,0.0,87.0,385.0,15550.0,340634.0,160.0,19.0,79.0
Chile,19.8,11.0,6.0,1.0,12.0,21.0,22.0,7.0,1.0,19.0,13.0,76.0,70.0,0.0,81.0,78.0,84.0,1.0,0.0,88.0,1657.0,27410.0,19348.0,101.0,15.0,92.0
Colombia,49.1,15.0,8.0,1.0,-1.0,52.0,52.0,12.0,2.0,23.0,11.0,81.0,76.0,86.0,75.0,71.0,79.0,1.0,0.0,82.0,1006.0,16460.0,82372.0,161.0,25.0,71.0
Ecuador,18.0,17.0,7.0,1.0,2.0,20.0,22.0,11.0,2.0,26.0,8.0,80.0,72.0,81.0,74.0,70.0,77.0,1.0,0.0,64.0,1734.0,11480.0,40434.0,228.0,34.0,79.0
French Guiana,0.3,27.0,5.0,2.0,-4.0,0.0,1.0,8.0,4.0,32.0,6.0,0.0,0.0,0.0,76.0,73.0,80.0,0.0,0.0,86.0,2232.0,0.0,0.0,0.0,0.0,0.0
Guyana,0.8,20.0,10.0,1.0,-5.0,1.0,1.0,23.0,2.0,29.0,6.0,34.0,33.0,53.0,66.0,62.0,69.0,1.0,2.0,27.0,193.0,23480.0,1406.0,178.0,14.0,47.0
Paraguay,6.8,21.0,8.0,1.0,-1.0,8.0,9.0,15.0,3.0,29.0,6.0,68.0,67.0,83.0,70.0,67.0,73.0,0.0,0.0,62.0,143.0,13630.0,9909.0,138.0,22.0,48.0
Peru,33.4,17.0,12.0,1.0,-1.0,36.0,39.0,15.0,2.0,25.0,9.0,76.0,55.0,67.0,69.0,65.0,73.0,1.0,0.0,79.0,934.0,12900.0,144834.0,437.0,49.0,83.0
Suriname,0.6,17.0,7.0,1.0,-3.0,1.0,1.0,17.0,2.0,26.0,8.0,39.0,39.0,57.0,73.0,71.0,76.0,7.0,1.0,66.0,986.0,14430.0,364.0,62.0,7.0,41.0
Uruguay,3.6,10.0,12.0,0.0,0.0,4.0,4.0,5.0,2.0,19.0,16.0,80.0,78.0,0.0,75.0,72.0,79.0,1.0,1.0,96.0,176.0,22540.0,1553.0,45.0,4.0,83.0
Venezuela,28.3,16.0,8.0,1.0,-18.0,33.0,36.0,16.0,2.0,28.0,9.0,75.0,0.0,0.0,71.0,66.0,75.0,1.0,0.0,88.0,1089.0,0.0,11163.0,39.0,6.0,50.0
Armenia,3.0,12.0,12.0,0.0,1.0,3.0,3.0,7.0,2.0,20.0,12.0,57.0,28.0,40.0,74.0,68.0,79.0,0.0,0.0,64.0,667.0,14220.0,9832.0,332.0,28.0,33.0
Azerbaijan,10.2,13.0,8.0,1.0,0.0,11.0,11.0,10.0,2.0,22.0,7.0,55.0,14.0,0.0,73.0,70.0,77.0,0.0,0.0,53.0,489.0,15460.0,28504.0,280.0,26.0,48.0
Bahrain,1.5,12.0,2.0,1.0,-6.0,2.0,2.0,6.0,2.0,20.0,4.0,0.0,0.0,0.0,79.0,78.0,80.0,0.0,0.1,90.0,92015.0,40730.0,333.0,19.0,6.0,72.0
Cyprus,1.3,10.0,7.0,0.0,2.0,1.0,1.0,2.0,1.0,16.0,15.0,0.0,0.0,0.0,81.0,79.0,83.0,0.0,0.1,67.0,1222.0,39410.0,505.0,42.0,7.0,53.0
Georgia,3.7,12.0,16.0,0.0,-1.0,4.0,3.0,9.0,2.0,20.0,15.0,41.0,33.0,51.0,73.0,69.0,78.0,0.0,0.0,59.0,1208.0,16060.0,12233.0,307.0,19.0,32.0
Iraq,44.5,27.0,5.0,2.0,-1.0,58.0,75.0,20.0,4.0,38.0,3.0,53.0,36.0,54.0,70.0,68.0,72.0,0.0,0.0,71.0,890.0,10320.0,33368.0,82.0,17.0,19.0
Israel,9.5,20.0,5.0,1.0,2.0,12.0,16.0,3.0,3.0,28.0,12.0,0.0,0.0,0.0,83.0,81.0,85.0,0.0,0.0,93.0,2507.0,44060.0,3089.0,35.0,6.0,71.0
Jordan,11.2,18.0,6.0,1.0,1.0,13.0,14.0,17.0,2.0,34.0,4.0,52.0,37.0,57.0,73.0,72.0,75.0,0.0,0.0,90.0,5429.0,10900.0,5965.0,58.0,17.0,44.0
Kuwait,4.1,12.0,2.0,1.0,-9.0,5.0,5.0,7.0,2.0,21.0,4.0,0.0,0.0,0.0,79.0,77.0,80.0,0.0,0.0,100.0,51868.0,59040.0,2120.0,49.0,19.0,78.0
Lebanon,5.5,15.0,8.0,1.0,-20.0,5.0,5.0,6.0,2.0,24.0,11.0,55.0,47.0,0.0,75.0,73.0,77.0,0.0,0.1,89.0,4057.0,10360.0,9260.0,136.0,19.0,0.0
Oman,4.6,19.0,2.0,2.0,-6.0,5.0,6.0,8.0,3.0,27.0,3.0,30.0,19.0,40.0,73.0,71.0,75.0,0.0,0.1,87.0,6127.0,28850.0,5750.0,111.0,26.0,60.0
